question,answer,tech_accuracy,confidence
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",51,56
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,93,74
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",86,100
What is normalization in a database?,It makes the database normal and easy to read. ,38,47
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",61,52
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",95,96
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,46,22
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",63,33
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,33,46
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,88,94
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",65,60
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",56,64
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",73,73
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",82,66
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",60,46
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,39,35
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",46,25
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,95,63
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,27,45
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,28
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",92,100
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,21,42
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",49,50
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,87,76
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",73,48
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",49,51
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",60,50
Explain how a hash map works.,It's just an array that stores things inside it. ,15,66
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,37,29
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,23,44
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,84,88
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,28,38
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",69,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",89,100
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",85,100
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,33,58
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,18,29
